Book_Id,Title,Author,My_Rating,Average_Rating,Publisher,Number_of_Pages,Original_Publication_Year,Date_Read,Date_Added,Bookshelves,Exclusive_Shelf
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,5,4.07,Time Warner Books UK,195.0,1997.0,2016-08-01,2019-01-07,personal-finance,read
4924862,I Will Teach You to Be Rich,Ramit Sethi,4,4.1,Workman Publishing Company,266.0,2009.0,2016-08-10,2019-01-07,personal-finance,read
4865,How to Win Friends and Influence People,Dale Carnegie,5,4.2,Gallery Books,288.0,1936.0,2016-09-10,2019-01-07,self-help,read
30186948,Think and Grow Rich,Napoleon Hill,5,4.18,,233.0,1937.0,2016-09-12,2019-01-07,self-help,read
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,5,4.11,Free Press,372.0,1989.0,2016-10-15,2019-01-07,self-help,read
1052,The Richest Man in Babylon,George S. Clason,5,4.26,Berkley Books,194.0,1926.0,2016-11-15,2019-01-07,personal-finance,read
4866,How to Stop Worrying and Start Living,Dale Carnegie,4,4.13,Gallery Books,358.0,1944.0,2016-11-30,2019-01-07,,read
106835,The Intelligent Investor,Benjamin Graham,4,4.24,Harper Business,623.0,1949.0,2016-12-10,2019-01-07,personal-finance,read
865,The Alchemist,Paulo Coelho,4,3.87,HarperCollins,197.0,1988.0,2017-03-15,2019-01-07,,read
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,4,4.03,Gallery Books,258.0,1995.0,2017-04-04,2019-01-07,,read
905092,The Millionaire Mind,Thomas J. Stanley,4,4.19,Andrews McMeel Publishing,416.0,2006.0,2017-06-11,2019-01-07,personal-finance,read
1274,"Men Are from Mars, Women Are from Venus",John Gray,4,3.55,Harper Paperbacks,368.0,1992.0,2017-07-15,2019-02-06,,read
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,5,4.23,Ecco,400.0,2015.0,2018-07-21,2019-01-07,biographies,read
6708,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4,4.14,New World Library,229.0,1997.0,2018-09-15,2019-01-07,,read
23848190,Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,5,4.28,St. Martin's Press,320.0,2015.0,2018-12-27,2019-01-07,self-help,read
368593,The 4-Hour Workweek,Timothy Ferriss,4,3.89,Harmony Books,308.0,2007.0,2019-01-06,2019-01-07,,read
34452535,Discipline Equals Freedom: Field Manual,Jocko Willink,4,4.1,St. Martin's Press,208.0,,2019-01-12,2019-01-12,,read
40977937,The Quick and Easy Way to effective speaking,Dale Carnegie,4,4.09,Om Books International,218.0,1962.0,2019-01-23,2019-01-13,self-help,read
41721428,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,5,4.45,Lioncrest Publishing,366.0,2018.0,2019-02-07,2019-01-08,biographies,read
4069,Man's Search for Meaning,Viktor E. Frankl,5,4.36,Beacon Press,165.0,1946.0,2019-02-18,2019-01-07,self-help,read
35133922,Educated,Tara Westover,5,4.47,Random House,334.0,2018.0,2019-03-02,2019-01-07,biographies,read
38746485,Becoming,Michelle Obama,4,4.55,Crown,426.0,2018.0,2019-03-26,2019-02-15,biographies,read
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,4,4.09,W. W. Norton  Company,224.0,2017.0,2019-04-17,2019-02-06,,read
9420697,"The Compound Effect: Jumpstart Your Income, Your Life, Your Success",Darren Hardy,0,4.35,SUCCESS Books,162.0,2010.0,2019-05-02,2019-01-12,self-help,read
759945,The Magic of Thinking Big,David J. Schwartz,5,4.24,Touchstone,320.0,1959.0,2019-05-08,2019-01-08,self-help,read
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,0,4.17,Crown Business,195.0,2014.0,2019-05-23,2019-01-08,personal-finance,read
10534,The Art of War,Sun Tzu,0,3.97,Shambhala,273.0,-500.0,2019-06-19,2019-06-19,,read
21849219,Directional Thinking: 10 Steps to Positive Thinking,Benjamin Chapin,0,3.16,Createspace Independent Publishing Platform,50.0,2014.0,2019-07-17,2019-07-17,,read
25066990,Living with a SEAL: 31 Days Training with the Toughest Man on the Planet,Jesse Itzler,4,4.27,Center Street,272.0,2015.0,2019-07-26,2019-07-23,,read
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4,4.1,Random House,375.0,2012.0,2019-08-23,2019-02-06,self-help,read
26156469,Never Split the Difference,Chris Voss,4,4.4,Harper Business,274.0,2016.0,2019-09-12,2019-09-03,,read
78427,The Total Money Makeover: A Proven Plan for Financial Fitness,Dave Ramsey,4,4.28,Nelson Books,229.0,2003.0,2019-09-15,2019-01-07,personal-finance,read
10865206,"The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It",Kelly McGonigal,5,4.15,Avery,275.0,2011.0,2019-10-03,2019-02-06,self-help,read
18054702,The Power of a Praying Husband,Stormie Omartian,4,4.24,Harvest House Publishers,272.0,2001.0,2019-10-20,2019-10-01,,read
157993,The Little Prince,Antoine de Saint-Exupéry,5,4.31,"Harcourt, Inc.",93.0,1943.0,2019-11-02,2019-10-27,,read
30289,The Republic,Plato,5,3.94,Penguin Classics,416.0,-380.0,2019-11-18,2019-10-29,,read
51291,How to Lie with Statistics,Darrell Huff,4,3.87,W. W. Norton & Company,142.0,1954.0,2019-12-13,2019-09-06,,read
76334,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,4,4.09,Plume,316.0,2005.0,2019-12-27,2019-01-08,,read
3228917,Outliers: The Story of Success,Malcolm Gladwell,4,4.16,"Little, Brown and Company",309.0,2008.0,2020-01-13,2020-01-07,,read
991544,Bhagavad-Gita As It Is,A.C. Bhaktivedanta Swami Prabhupāda,5,4.22,Bhaktivedanta Book Trust ,883.0,1968.0,2020-02-20,2019-01-08,,read
639864,Autobiography of a Yogi,Paramahansa Yogananda,5,4.23,Self-Realization Fellowship Publishers,448.0,1946.0,2020-04-08,2019-10-16,,read
840,The Design of Everyday Things,Donald A. Norman,0,4.17,Basic Books,240.0,1988.0,,2020-04-08,to-read,to-read
50763319,Leadership Strategy and Tactics: Field Manual,Jocko Willink,0,4.52,St. Martin's Press,320.0,,,2020-01-24,to-read,to-read
29008550,To Kill A Mocking Bird,Harper Lee,0,4.28,,,1960.0,,2019-12-15,to-read,to-read
10884,Einstein: His Life and Universe,Walter Isaacson,0,4.12,Simon  Schuster,675.0,2007.0,,2019-01-08,currently-reading,currently-reading
36204378,The Book of Why: The New Science of Cause and Effect,Judea Pearl,0,3.95,Basic Books,432.0,2018.0,,2019-09-06,to-read,to-read
30257963,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,0,3.95,Random House Canada,409.0,2018.0,,2019-08-19,currently-reading,currently-reading
10883,Benjamin Franklin: An American Life,Walter Isaacson,5,4.0,Simon & Schuster,586.0,2003.0,,2019-01-07,"to-read, biographies",to-read
11084145,Steve Jobs,Walter Isaacson,5,4.14,Simon & Schuster,627.0,2011.0,,2019-01-07,"currently-reading, biographies",currently-reading
27220736,Shoe Dog: A Memoir by the Creator of NIKE,Phil Knight,5,4.49,Scribner,400.0,2016.0,,2019-01-07,"currently-reading, biographies",currently-reading
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,0,3.97,Back Bay Books,301.0,2000.0,,2019-05-07,currently-reading,currently-reading
52309,The Autobiography of Benjamin Franklin,Benjamin Franklin,0,3.83,Touchstone,143.0,1791.0,,2019-02-13,to-read,to-read
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,0,3.85,Anchor,489.0,2003.0,,2019-02-13,to-read,to-read
22875118,Brain Maker: The Power of Gut Microbes to Heal and Protect Your Brain for Life,David Perlmutter,0,4.02,"Little, Brown Spark",320.0,2015.0,,2019-02-06,to-read,to-read
203409,Security Analysis: Principles and Technique,Benjamin Graham,0,4.34,McGraw-Hill Education,770.0,1962.0,,2019-02-06,to-read,to-read
17851885,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,0,4.12,"Little, Brown and Company",327.0,2012.0,,2019-02-06,to-read,to-read
32075671,The Hate U Give,Angie Thomas,0,4.51,Balzer + Bray,464.0,2017.0,,2019-02-06,to-read,to-read
26329,Emotional Intelligence: Why It Can Matter More Than IQ,Daniel Goleman,0,4.02,Bantam,384.0,1995.0,,2019-01-23,to-read,to-read
6385011,The 48 Laws of Power,Robert Greene,0,4.18,,452.0,1998.0,,2019-01-22,to-read,to-read
11468377,"Thinking, Fast and Slow",Daniel Kahneman,0,4.16,"Farrar, Straus and Giroux",499.0,2011.0,,2019-01-22,to-read,to-read
40745,Mindset: The New Psychology of Success,Carol S. Dweck,0,4.07,Random House,276.0,2006.0,,2019-01-21,to-read,to-read
40242274,A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing,Burton G. Malkiel,0,4.11,W. W. Norton  Company,432.0,1973.0,,2019-01-21,to-read,to-read
181206,The 80/20 Principle: The Secret to Achieving More with Less,Richard Koch,0,4.02,Crown Business,288.0,1998.0,,2019-01-12,to-read,to-read
7155145,Linchpin: Are You Indispensable?,Seth Godin,0,3.84,Portfolio,244.0,2010.0,,2019-01-08,to-read,to-read
22632,"The Trial and Death of Socrates (Euthyphro, Apology, Crito, Phaedo (death scene only))",Plato,0,4.09,Hackett Publishing Company,58.0,-400.0,,2019-01-08,to-read,to-read
2122,The Fountainhead,Ayn Rand,0,3.87,Signet Book,704.0,1943.0,,2019-01-08,to-read,to-read
66354,Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,0,4.11,Harper Perennial,303.0,1990.0,,2019-01-08,to-read,to-read
38714388,The Dichotomy of Leadership: Balancing the Challenges of Extreme Ownership to Lead and Win,Jocko Willink,0,4.4,St. Martin's Press,320.0,,,2019-01-08,to-read,to-read
34684622,Leonardo da Vinci,Walter Isaacson,0,4.18,Simon & Schuster,600.0,2017.0,,2019-01-08,to-read,to-read
11944042,Chanakya Neeti,Ashwani Parashar,0,3.92,Diamond Book,,2009.0,,2019-01-08,to-read,to-read
6907891,Stop Acting Rich: ...and Start Living Like a Real Millionaire,Thomas J. Stanley,0,3.84,John Wiley & Sons,274.0,2009.0,,2019-01-08,to-read,to-read
662,Atlas Shrugged,Ayn Rand,4,3.69,Plume,1168.0,1957.0,,2019-01-07,to-read,to-read